temperature;global_horizontal_rad;direct_normal_rad;dif_rad_horizontal;irr_rad;wind_speed;humidity
6.7;46;0;46;322;3.6;95
6.9;31;0;31;324;3.1;95
7.1;11;0;11;325;1.5;96
7.3;1;0;1;326;1.0;93
7.4;0;0;0;326;1.5;94
7.3;0;0;0;326;2.1;95
7.2;0;0;0;325;1.0;95
7.0;0;0;0;325;1.5;97
7.0;0;0;0;325;1.5;97
6.7;0;0;0;314;2.1;99
6.3;0;0;0;312;1.0;97
6.3;0;0;0;312;0.5;97
6.0;0;0;0;319;1.0;100
5.8;0;0;0;318;0.0;99
6.2;0;0;0;320;1.5;99
7.0;0;0;0;324;2.6;93
6.9;0;0;0;323;2.6;91
6.8;0;0;0;323;3.1;92
6.8;0;0;0;323;3.6;92
6.9;7;0;7;323;4.1;91
7.0;25;0;25;323;4.6;90
7.4;42;0;42;325;4.6;88
7.7;53;0;53;327;5.7;86
8.1;139;40;127;319;5.1;83
8.0;47;0;47;327;5.1;81
7.8;32;0;32;327;5.7;84
7.9;31;0;31;303;5.7;82
8.0;2;0;2;304;5.1;83
8.3;0;0;0;329;6.2;83
8.3;0;0;0;330;6.2;85
7.8;0;0;0;328;6.7;91
8.1;0;0;0;330;8.2;90
8.1;0;0;0;330;7.7;93
8.0;0;0;0;330;6.7;94
6.7;0;0;0;322;4.1;91
6.0;0;0;0;319;2.6;95
5.7;0;0;0;317;2.6;97
5.6;0;0;0;316;2.6;95
5.6;0;0;0;315;2.1;88
4.8;0;0;0;304;2.6;97
3.8;0;0;0;270;2.6;93
3.3;0;0;0;268;2.1;97
2.1;0;0;0;262;0.5;94
2.4;34;137;25;264;1.0;96
4.3;128;205;92;272;2.1;91
6.2;217;626;55;279;2.6;77
7.0;269;651;70;283;3.1;75
7.6;278;661;71;285;2.1;70
7.8;240;620;67;286;3.1;68
8.0;163;536;51;286;3.6;64
6.2;63;249;37;279;3.1;74
6.0;4;0;4;278;3.1;75
2.5;0;0;0;263;2.1;86
2.1;0;0;0;256;1.5;87
1.7;0;0;0;255;1.5;90
1.7;0;0;0;255;1.5;92
2.1;0;0;0;257;1.0;93
1.5;0;0;0;255;2.1;96
1.5;0;0;0;255;1.5;96
2.1;0;0;0;258;2.6;96
2.9;0;0;0;302;2.1;97
4.3;0;0;0;309;2.6;97
5.2;0;0;0;286;3.1;94
5.5;0;0;0;279;3.1;93
5.3;0;0;0;295;2.6;95
5.4;0;0;0;279;2.6;97
6.0;0;0;0;281;3.1;97
6.4;7;0;7;283;2.6;95
7.5;26;0;26;303;2.6;94
8.3;111;31;103;310;3.6;93
9.1;138;26;130;310;3.6;88
9.4;143;27;134;311;3.6;83
9.3;124;24;117;313;4.1;78
8.8;120;145;89;305;4.1;81
8.7;34;0;34;307;3.6;80
8.1;2;0;2;320;3.1;85
8.1;0;0;0;319;3.1;83
8.0;0;0;0;319;3.1;85
8.2;0;0;0;329;4.1;83
8.0;0;0;0;328;2.6;84
7.9;0;0;0;319;2.6;85
7.8;0;0;0;327;2.6;86
7.9;0;0;0;328;3.6;87
7.5;0;0;0;326;3.1;90
7.3;0;0;0;325;2.1;91
6.6;0;0;0;301;2.1;94
6.8;0;0;0;314;1.5;95
7.9;0;0;0;320;3.1;91
8.1;0;0;0;320;3.6;90
7.9;0;0;0;320;3.1;92
7.5;0;0;0;298;2.6;93
7.2;34;122;26;298;3.1;93
7.7;124;270;75;300;4.1;88
8.0;221;629;54;293;4.1;81
8.7;276;693;60;290;4.6;65
9.0;285;668;72;290;5.1;61
9.0;247;619;69;294;5.1;61
8.0;147;338;73;300;5.7;66
7.6;50;48;45;301;5.7;62
6.9;4;0;4;298;4.6;67
6.6;0;0;0;307;5.1;65
5.6;0;0;0;278;4.1;63
4.8;0;0;0;272;4.1;73
4.3;0;0;0;273;3.6;75
4.6;0;0;0;283;4.1;68
4.2;0;0;0;276;3.6;67
3.8;0;0;0;266;3.6;69
3.6;0;0;0;266;3.1;71
3.3;0;0;0;265;2.6;76
2.9;0;0;0;277;2.1;81
3.0;0;0;0;281;3.1;82
3.4;0;0;0;283;4.1;83
3.3;0;0;0;282;4.1;81
3.4;0;0;0;279;4.1;81
3.2;0;0;0;279;3.6;84
3.3;27;21;26;283;4.6;84
4.0;70;62;59;296;5.7;80
4.5;116;27;109;299;5.7;78
5.1;144;34;133;301;8.7;75
5.2;148;29;139;302;7.2;75
5.1;51;0;51;310;5.7;78
4.7;35;0;35;310;5.1;86
4.7;15;0;15;310;4.6;89
4.9;3;0;3;302;4.6;85
4.8;0;0;0;302;4.1;87
4.8;0;0;0;310;3.6;84
4.7;0;0;0;301;2.6;84
4.5;0;0;0;300;2.6;84
4.4;0;0;0;299;1.5;82
4.2;0;0;0;307;1.0;84
4.3;0;0;0;306;2.1;79
4.3;0;0;0;306;1.0;77
4.3;0;0;0;305;1.0;74
4.3;0;0;0;305;1.5;72
4.2;0;0;0;296;1.5;74
4.0;0;0;0;295;1.0;73
3.9;0;0;0;295;1.0;77
3.4;0;0;0;293;1.0;78
3.1;0;0;0;292;1.0;82
3.0;20;0;20;292;0.0;86
3.6;71;28;66;296;1.0;88
4.7;118;28;111;298;1.0;71
5.1;146;35;135;299;1.0;62
5.6;151;36;140;300;0.0;58
5.3;132;32;123;300;1.0;62
5.3;92;20;87;301;1.0;67
5.0;39;0;39;300;2.1;70
4.5;4;0;4;297;1.0;67
4.2;0;0;0;295;2.1;68
3.8;0;0;0;293;3.1;67
3.6;0;0;0;292;3.1;69
3.3;0;0;0;280;2.1;68
2.6;0;0;0;278;1.5;74
2.0;0;0;0;286;0.0;77
2.1;0;0;0;286;1.0;76
1.3;0;0;0;272;1.0;80
0.5;0;0;0;256;1.5;80
0.3;0;0;0;267;0.0;78
0.0;0;0;0;277;0.0;86
0.1;0;0;0;277;0.0;86
0.9;0;0;0;280;1.0;77
0.4;0;0;0;279;1.0;87
1.3;0;0;0;291;1.5;80
2.0;21;0;21;285;2.6;73
2.3;73;70;60;286;2.1;72
2.7;47;0;47;296;1.0;70
3.2;58;0;58;300;1.0;78
3.6;60;0;60;302;2.1;78
